# X_params, Y_params
1.566863951158896725e+03,-9.241561024177053696e+02
9.708699221814929281e-01,2.194625843207891613e-01
-1.897384002931103934e-03,8.323328163013052772e-04
1.582979998637767949e-06,-2.263133622171231707e-07
-6.643134452730993011e+00,4.638386194753438829e+00
9.568378968934709156e-03,-7.518830025355206434e-03
-4.910279692404984075e-06,4.054539771466969533e-06
2.803394243735577796e-04,-1.405675490047215807e-03
5.173895057386523888e-07,1.368216697439361695e-06
-1.183909255297876939e-06,-6.125587697775047857e-07
