# X_params, Y_params
1.670664008367330098e+03,-3.648893300227271652e+02
4.857665232331778021e-02,9.317741715718070861e-01
6.582251050099945902e-05,7.716148839222907244e-06
-8.432009930559036803e-09,2.045701263941879233e-08
-7.242513366548698706e+00,1.229253917805115170e+00
1.192693571016297319e-02,-8.830711298356450859e-04
-6.808667851809085958e-06,-8.063862283469447334e-08
-2.646205719668366565e-04,-2.540475897057053577e-03
3.219617231466076479e-07,2.012830955078204198e-06
-1.032865712957686810e-07,-5.823992987874504479e-08
