# u, v, x, y, z 
#  units in pixels and meters
7.620000000000000000e+02,4.310000000000000000e+02,7.010057909174031820e+00,1.308036167835009422e+00,0.000000000000000000e+00
8.120000000000000000e+02,4.090000000000000000e+02,7.467235598902773219e+00,1.765213857563750599e+00,0.000000000000000000e+00
6.900000000000000000e+02,4.030000000000000000e+02,7.619628162145686723e+00,1.003251041349181971e+00,0.000000000000000000e+00
7.310000000000000000e+02,3.900000000000000000e+02,7.924413288631514618e+00,1.308036167835009422e+00,0.000000000000000000e+00
8.690000000000000000e+02,4.010000000000000000e+02,7.619628162145686723e+00,2.069998984049578272e+00,0.000000000000000000e+00
9.650000000000000000e+02,4.170000000000000000e+02,7.314843035659859716e+00,2.527176673778319227e+00,0.000000000000000000e+00
9.190000000000000000e+02,3.840000000000000000e+02,8.076805851874429010e+00,2.527176673778319227e+00,0.000000000000000000e+00
8.000000000000000000e+02,3.840000000000000000e+02,8.076805851874429010e+00,1.765213857563750599e+00,0.000000000000000000e+00
6.470000000000000000e+02,3.730000000000000000e+02,8.381590978360256017e+00,8.508584781062683566e-01,0.000000000000000000e+00
7.110000000000000000e+02,3.630000000000000000e+02,8.686376104846083024e+00,1.308036167835009422e+00,0.000000000000000000e+00
6.390000000000000000e+02,3.530000000000000000e+02,8.991161231331910031e+00,8.508584781062683566e-01,0.000000000000000000e+00
5.690000000000000000e+02,5.270000000000000000e+02,5.638524839987808512e+00,2.412882251346133711e-01,0.000000000000000000e+00
4.540000000000000000e+02,5.380000000000000000e+02,5.486132276744895009e+00,-2.158894645941278334e-01,0.000000000000000000e+00
2.340000000000000000e+02,5.210000000000000000e+02,5.638524839987808512e+00,-1.130244844051610187e+00,0.000000000000000000e+00
4.600000000000000000e+01,5.280000000000000000e+02,5.486132276744895009e+00,-1.892207660266179037e+00,0.000000000000000000e+00
4.250000000000000000e+02,4.990000000000000000e+02,5.943309966473635519e+00,-3.682820278370415590e-01,0.000000000000000000e+00
3.250000000000000000e+02,4.860000000000000000e+02,6.095702529716549911e+00,-8.254597175657828467e-01,0.000000000000000000e+00
1.700000000000000000e+02,4.730000000000000000e+02,6.248095092959463415e+00,-1.587422533780351586e+00,0.000000000000000000e+00
4.030000000000000000e+02,4.560000000000000000e+02,6.552880219445290422e+00,-5.206745910799552846e-01,0.000000000000000000e+00
3.140000000000000000e+02,4.480000000000000000e+02,6.705272782688204813e+00,-9.778522808086965723e-01,0.000000000000000000e+00
1.600000000000000000e+02,4.450000000000000000e+02,6.705272782688204813e+00,-1.739815097023265311e+00,0.000000000000000000e+00
2.320000000000000000e+02,4.350000000000000000e+02,6.857665345931118317e+00,-1.435029970537437860e+00,0.000000000000000000e+00
4.430000000000000000e+02,4.290000000000000000e+02,7.010057909174031820e+00,-3.682820278370415590e-01,0.000000000000000000e+00
5.840000000000000000e+02,4.160000000000000000e+02,7.314843035659859716e+00,3.936807883775271244e-01,0.000000000000000000e+00
5.010000000000000000e+02,4.010000000000000000e+02,7.619628162145686723e+00,-6.349690135121410783e-02,0.000000000000000000e+00
3.640000000000000000e+02,4.070000000000000000e+02,7.467235598902773219e+00,-8.254597175657828467e-01,0.000000000000000000e+00
2.770000000000000000e+02,4.080000000000000000e+02,7.467235598902773219e+00,-1.282637407294524134e+00,0.000000000000000000e+00
1.640000000000000000e+02,4.190000000000000000e+02,7.162450472416945324e+00,-1.892207660266179037e+00,0.000000000000000000e+00
2.750000000000000000e+02,3.860000000000000000e+02,7.924413288631514618e+00,-1.435029970537437860e+00,0.000000000000000000e+00
3.120000000000000000e+02,3.690000000000000000e+02,8.381590978360256017e+00,-1.282637407294524134e+00,0.000000000000000000e+00
3.770000000000000000e+02,3.810000000000000000e+02,8.076805851874429010e+00,-8.254597175657828467e-01,0.000000000000000000e+00
5.030000000000000000e+02,3.760000000000000000e+02,8.229198415117341625e+00,-6.349690135121410783e-02,0.000000000000000000e+00
5.920000000000000000e+02,3.880000000000000000e+02,7.924413288631514618e+00,3.936807883775271244e-01,0.000000000000000000e+00
5.280000000000000000e+02,3.550000000000000000e+02,8.838768668088997416e+00,8.889566189169963162e-02,0.000000000000000000e+00
4.590000000000000000e+02,3.590000000000000000e+02,8.686376104846083024e+00,-3.682820278370415590e-01,0.000000000000000000e+00
2.600000000000000000e+02,3.520000000000000000e+02,8.838768668088997416e+00,-1.739815097023265311e+00,0.000000000000000000e+00
5.300000000000000000e+02,4.670000000000000000e+02,6.400487656202376918e+00,8.889566189169963162e-02,0.000000000000000000e+00
